N,k,time(ms)
1000,1,0.029416
1000,5,0.014708
1000,10,0.015041
1000,50,0.066667
1000,100,65.5582
1000,500,770.26
10000,1,0.093583
10000,5,0.085792
10000,10,0.084417
10000,50,0.122375
10000,100,0.152958
10000,500,0.197875
100000,1,0.060166
100000,5,0.037625
100000,10,0.049625
100000,50,0.058959
100000,100,0.068833
100000,500,0.339834
1630238,1,8.16779
1630238,5,8.19613
1630238,10,12.128
1630238,50,8.80083
1630238,100,8.79596
1630238,500,10.1674
