N,k,time(ms)
1000,1,0.028875
1000,5,0.020709
1000,10,0.021667
1000,50,0.028041
1000,100,1.61025
1000,500,14.2667
10000,1,0.295
10000,5,0.338333
10000,10,0.308041
10000,50,0.389417
10000,100,0.449375
10000,500,0.783292
100000,1,0.314625
100000,5,0.483375
100000,10,0.299916
100000,50,0.393125
100000,100,0.414917
100000,500,0.782542
1630238,1,50.7298
1630238,5,46.7718
1630238,10,48.2429
1630238,50,46.3436
1630238,100,49.3846
1630238,500,45.5811
