N,k,time(ms)
1000,1,0.088375
1000,5,0.079959
1000,10,0.079625
1000,50,0.079083
1000,100,0.087
1000,500,0.101208
10000,1,0.979292
10000,5,0.923417
10000,10,2.13058
10000,50,0.912667
10000,100,0.96575
10000,500,0.942708
100000,1,13.6922
100000,5,11.9179
100000,10,9.81221
100000,50,10.2005
100000,100,8.80263
100000,500,8.78317
1630237,1,178.089
1630237,5,147.426
1630237,10,146.734
1630237,50,148.973
1630237,100,150.2
1630237,500,150.219
