N,r,time(ms)
1000,0.01,0.002666
1000,0.05,0.004084
1000,0.1,0.009417
1000,0.2,0.021709
1000,0.5,0.069833
10000,0.01,0.009
10000,0.05,0.035125
10000,0.1,0.079167
10000,0.2,0.204958
10000,0.5,0.34075
100000,0.01,0.010625
100000,0.05,0.020125
100000,0.1,0.046208
100000,0.2,0.143167
100000,0.5,0.36325
1630238,0.01,1.23012
1630238,0.05,10.3004
1630238,0.1,11.6122
1630238,0.2,23.6633
1630238,0.5,33.5955
