N,r,time(ms)
1000,0.01,0.002542
1000,0.05,0.004792
1000,0.1,0.006083
1000,0.2,0.008334
1000,0.5,0.01325
10000,0.01,0.056875
10000,0.05,0.073083
10000,0.1,0.092708
10000,0.2,0.180458
10000,0.5,0.224208
100000,0.01,0.039334
100000,0.05,0.052542
100000,0.1,0.065917
100000,0.2,0.162333
100000,0.5,0.265375
1630238,0.01,9.99775
1630238,0.05,10.7069
1630238,0.1,14.2681
1630238,0.2,26.162
1630238,0.5,37.0434
