N,r,time(ms)
1000,0.01,0.005834
1000,0.05,0.025667
1000,0.1,0.073416
1000,0.2,0.255417
1000,0.5,1.38912
10000,0.01,0.008084
10000,0.05,0.051917
10000,0.1,0.153333
10000,0.2,0.503042
10000,0.5,2.04121
100000,0.01,0.006959
100000,0.05,0.053084
100000,0.1,0.161459
100000,0.2,0.603833
100000,0.5,2.55229
1630238,0.01,0.082625
1630238,0.05,1.94575
1630238,0.1,7.97871
1630238,0.2,26.3788
1630238,0.5,39.4397
