N,k,time(ms)
1000,1,0.027167
1000,5,0.017458
1000,10,0.018709
1000,50,0.043333
1000,100,9.32683
1000,500,99.5605
10000,1,0.170917
10000,5,0.166791
10000,10,0.177875
10000,50,0.237041
10000,100,0.301458
10000,500,0.540459
100000,1,0.115917
100000,5,0.110166
100000,10,0.154459
100000,50,0.159958
100000,100,0.188833
100000,500,0.298416
1630238,1,36.2941
1630238,5,27.9521
1630238,10,27.2596
1630238,50,27.4978
1630238,100,31.3679
1630238,500,29.3773
