N,r,time(ms)
1000,0.01,0.003958
1000,0.05,0.003958
1000,0.1,0.006708
1000,0.2,0.013042
1000,0.5,0.027583
10000,0.01,0.016833
10000,0.05,0.047083
10000,0.1,0.10225
10000,0.2,0.199333
10000,0.5,0.317083
100000,0.01,0.014
100000,0.05,0.022917
100000,0.1,0.05775
100000,0.2,0.167666
100000,0.5,0.327583
1630238,0.01,2.70213
1630238,0.05,6.97825
1630238,0.1,13.1126
1630238,0.2,25.2327
1630238,0.5,37.0412
