N,k,time(ms)
1000,1,0.007708
1000,5,0.01175
1000,10,0.014875
1000,50,0.032834
1000,100,0.06925
1000,500,0.26275
10000,1,0.005417
10000,5,0.026208
10000,10,0.033375
10000,50,0.110083
10000,100,0.164917
10000,500,0.390417
100000,1,0.014542
100000,5,0.029625
100000,10,0.043834
100000,50,0.093625
100000,100,0.147541
100000,500,0.508375
1630238,1,0.0305
1630238,5,0.284375
1630238,10,0.858042
1630238,50,1.97837
1630238,100,2.85479
1630238,500,6.97842
