N,r,time(ms)
1000,0.01,0.032792
1000,0.05,0.033125
1000,0.1,0.034792
1000,0.2,0.036291
1000,0.5,0.036375
10000,0.01,0.324416
10000,0.05,0.333125
10000,0.1,0.3525
10000,0.2,0.398666
10000,0.5,0.421042
100000,0.01,3.33192
100000,0.05,3.34992
100000,0.1,3.3695
100000,0.2,3.49921
100000,0.5,3.6655
1630238,0.01,56.5411
1630238,0.05,56.6238
1630238,0.1,56.6073
1630238,0.2,56.5384
1630238,0.5,56.5614
